caminho_lockfile,pacote,versao,dependencia_direta,grupo_direto,dev,devOptional,optional,hasInstallScript
node_modules/@noble/ciphers,@noble/ciphers,1.3.0,False,,True,False,False,False
node_modules/@noble/curves,@noble/curves,1.9.7,False,,True,False,False,False
node_modules/@noble/hashes,@noble/hashes,1.8.0,False,,True,False,False,False
node_modules/@nodelib/fs.scandir,@nodelib/fs.scandir,2.1.5,False,,True,False,False,False
node_modules/@nodelib/fs.stat,@nodelib/fs.stat,2.0.5,False,,True,False,False,False
node_modules/@nodelib/fs.walk,@nodelib/fs.walk,1.2.8,False,,True,False,False,False
node_modules/@nolyfill/is-core-module,@nolyfill/is-core-module,1.0.39,False,,True,False,False,False
node_modules/@oxc-project/types,@oxc-project/types,0.148.0,False,,True,False,False,False
node_modules/@pdf-lib/standard-fonts,@pdf-lib/standard-fonts,1.0.0,False,,False,False,False,False
node_modules/@pdf-lib/upng,@pdf-lib/upng,1.0.1,False,,False,False,False,False
node_modules/@playwright/test,@playwright/test,1.63.0,True,devDependencies,False,True,False,False
node_modules/@react-email/render,@react-email/render,2.1.0,False,,False,False,False,False
node_modules/@rolldown/binding-android-arm-eabi,@rolldown/binding-android-arm-eabi,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-android-arm64,@rolldown/binding-android-arm64,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-darwin-arm64,@rolldown/binding-darwin-arm64,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-darwin-x64,@rolldown/binding-darwin-x64,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-freebsd-x64,@rolldown/binding-freebsd-x64,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-arm-gnueabihf,@rolldown/binding-linux-arm-gnueabihf,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-arm64-gnu,@rolldown/binding-linux-arm64-gnu,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-arm64-musl,@rolldown/binding-linux-arm64-musl,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-ppc64-gnu,@rolldown/binding-linux-ppc64-gnu,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-s390x-gnu,@rolldown/binding-linux-s390x-gnu,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-x64-gnu,@rolldown/binding-linux-x64-gnu,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-linux-x64-musl,@rolldown/binding-linux-x64-musl,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-openharmony-arm64,@rolldown/binding-openharmony-arm64,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-win32-arm64-msvc,@rolldown/binding-win32-arm64-msvc,1.2.7,False,,True,False,True,False
node_modules/@rolldown/binding-win32-x64-msvc,@rolldown/binding-win32-x64-msvc,1.2.7,False,,True,False,True,False
node_modules/@rolldown/pluginutils,@rolldown/pluginutils,1.0.1,False,,True,False,False,False
node_modules/@rtsao/scc,@rtsao/scc,1.1.0,False,,True,False,False,False
